what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error logged from Debug UI: ",1393959182190
error,log,,,"Error logged from Debug UI: ",1393959182208
error,log,,,"Error logged from Debug UI: ",1393959182741
error,log,,,"Error logged from Debug UI: ",1393959182756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959185264
error,log,,,"Error logged from Debug UI: ",1393959185413
error,log,,,"Error logged from Debug UI: ",1393959185466
error,log,,,"Error logged from Debug UI: ",1393959185711
error,log,,,"Error logged from Debug UI: ",1393959185719
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393959188116
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959246390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393959254637
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959257142
error,log,,,"Error logged from Debug UI: ",1393959257302
error,log,,,"Error logged from Debug UI: ",1393959257331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959258139
error,log,,,"Error logged from Debug UI: ",1393959259717
error,log,,,"Error logged from Debug UI: ",1393959259738
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959260104
error,log,,,"Error logged from Debug UI: ",1393959260174
error,log,,,"Error logged from Debug UI: ",1393959260191
error,log,,,"Error logged from Debug UI: ",1393959260500
error,log,,,"Error logged from Debug UI: ",1393959260513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959261580
error,log,,,"Error logged from Debug UI: ",1393959262364
error,log,,,"Error logged from Debug UI: ",1393959262392
error,log,,,"Error logged from Debug UI: ",1393959263255
error,log,,,"Error logged from Debug UI: ",1393959263261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393959264542
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959268304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393959275456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393959278419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393959280006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393959283093
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959285003
error,log,,,"Error logged from Debug UI: ",1393959285271
error,log,,,"Error logged from Debug UI: ",1393959285303
error,log,,,"Error logged from Debug UI: ",1393959285510
error,log,,,"Error logged from Debug UI: ",1393959285523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959286366
error,log,,,"Error logged from Debug UI: ",1393959286716
error,log,,,"Error logged from Debug UI: ",1393959286731
error,log,,,"Error logged from Debug UI: ",1393959287362
error,log,,,"Error logged from Debug UI: ",1393959287368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393959289109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959296134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393959307354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959761881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959764381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959764878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959900275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959908698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393959956978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393960046539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393960561332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393960571642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393960574827
